new_municipality,cardiac_arrests_number,points_coordinates
"edegem, belgium",2,"(4.4313468, 51.1561016)"
"eigenbilzen, belgium",2,"(5.574635499999999, 50.8746121)"
"louwel, belgium",2,"(5.6099, 51.05093)"
"buvingen, belgium",2,"(5.17767, 50.75294)"
"niel, belgium",2,"(4.3320602, 51.1107065)"
"kleine-spouwen, belgium",2,"(5.5483654, 50.8381087)"
"olen, belgium",2,"(4.903903, 51.16873340000001)"
"riemst, belgium",2,"(5.6011861, 50.8089095)"
"reppel, belgium",2,"(5.56309, 51.15506)"
"rekem, belgium",2,"(5.695727199999999, 50.9224749)"
"reet, belgium",2,"(4.4125882, 51.10113339999999)"
"piringen, belgium",2,"(5.4178871, 50.7864119)"
"boorsem, belgium",2,"(5.7197843, 50.9408237)"
"borgerhout, belgium",2,"(4.4488977, 51.2090363)"
"borsbeek, belgium",2,"(4.4791807, 51.19469429999999)"
"ordingen, belgium",2,"(5.235209999999999, 50.81285)"
"brasschaat, belgium",2,"(4.4915511, 51.2901086)"
"opitter, belgium",2,"(5.649719999999999, 51.11657)"
"ophoven, belgium",2,"(5.80204, 51.12559)"
"brustem, belgium",2,"(5.22187, 50.80565)"
"kleine-brogel, belgium",2,"(5.45019, 51.17258)"
"zwijndrecht, belgium",2,"(4.3290469, 51.2157101)"
"berchem, belgium",1,"(4.4188392, 51.1955771)"
"kalmthout, belgium",1,"(4.4750964, 51.3829237)"
"ekeren, belgium",1,"(4.4175641, 51.2771047)"
